INSTNM,UGDS,UGDS_NRA,TUITFTE
Coastline Community College,4738,0.0074,NULL
Cogswell College,482,0.0083,NULL
Coleman University,1058,0,NULL
COBA Academy,71,0,NULL
COLLEGE OF OCEANEERING,288,0.0243,NULL
Western University of Health Sciences,186,0.0323,NULL
Columbia College,1383,0.0051,NULL
Columbia College-Hollywood,189,0.3122,NULL
El Camino College-Compton Center,2807,0.0089,NULL
COMPUTER LEARNING CENTER,931,0.0183,NULL
COMPUTER LEARNING CENTER,273,0,NULL
COMPUTER LEARNING CENTER OF ANAHEIM,573,0.0175,NULL
CONTEMPO SCHOOL OF BEAUTY,95,0.0105,NULL
SAN FERNANDO BEAUTY ACADEMY,169,0,NULL
Contra Costa College,3388,0.023,NULL
Cosumnes River College,7660,0.0104,NULL
BRYAN COLLEGE-SAN FRANCISCO,64,0,NULL
Crafton Hills College,2564,0.0031,NULL
Cuesta College,6459,0.0071,NULL
Cuyamaca College,3350,0.0096,NULL
CYNTHIAS BEAUTY ACADEMY,0,0,NULL
Cypress College,7760,0.0162,NULL
D-Q UNIVERSITY,160,0.0125,NULL
DANIEL FREEMAN HOSPITAL PARAMEDIC SCHOOL,127,0,NULL
De Anza College,12284,0.0425,NULL
DEEP SPRINGS COLLEGE,26,0,NULL
Dell'Arte International School of Physical Theatre,37,0.4865,NULL
College of the Desert,4771,0.0545,NULL
Design Institute of San Diego,250,0.028,NULL
DEVRY INSTITUTE OF TECHNOLOGY-POMONA,3303,0.0154,NULL
Diablo Valley College,12414,0.0324,NULL
Dominican University of California,1015,0.0256,NULL
Dominican School of Philosophy & Theology,8,0,NULL
DON BOSCO TECHNICAL INSTITUTE,130,0,NULL
DONS BEAUTY COLLEGE,36,0,NULL
East Los Angeles College,7303,0.0483,NULL
EAST LOS ANGELES OCCUPATIONAL CENTER,3675,0,NULL
Marinello Schools of Beauty-Santa Clara,48,0,NULL
EDUCATIONAL CULTURAL COMPLEX,54,0,NULL
El Camino Community College District,13773,0.0354,NULL
Elegance International,23,0.5217,NULL
ELEGANTE BEAUTY COLLEGE,67,0,NULL
Marinello Schools of Beauty-Burbank,50,0,NULL
Marinello Schools of Beauty-Moreno Valley,47,0,NULL
Emperor's College of Traditional Oriental Medicine,NULL,NULL,NULL
Empire College,357,0,NULL
Evergreen Valley College,5903,0.0039,NULL
Fashion Institute of Design & Merchandising-Los Angeles,1741,0.1534,NULL
FASHION CAREERS OF CALIFORNIA,73,0,NULL
Fashion Institute of Design & Merchandising-San Francisco,536,0.1045,NULL
Fashion Institute of Design & Merchandising-Orange County,171,0.0351,NULL
Feather River Community College District,462,0.0022,NULL
Federico Beauty Institute,107,0,NULL
Fielding Graduate University,NULL,NULL,NULL
Five Branches University,NULL,NULL,NULL
Foothill College,4966,0.0952,NULL
Fredrick and Charles Beauty College,29,0,NULL
Fresno City College,11362,0.0212,NULL
Fresno Pacific University,653,0.0444,NULL
Fuller Theological Seminary in California,NULL,NULL,NULL
Fullerton College,11218,0.0235,NULL
GALEN COLLEGE OF MEDICAL AND DENTAL ASSISTANTS,163,0,NULL
GALEN COLLEGE OF MEDICAL AND DENTAL ASSISTANTS,96,0,NULL
GALEN COLLEGE OF MEDICAL AND DENTAL ASSISTANTS,30,0,NULL
Gavilan College,1651,0.0103,NULL
Gemological Institute of America-Carlsbad,12732,0.0159,NULL
Glendale Community College,8573,0.1073,NULL
Glendale Career College,810,0,NULL
GOLDEN GATE BAPTIST SEMINARY,48,0,NULL
GOLDEN GATE UNIVERSITY-MONTEREY,122,0.1967,NULL
Golden Gate University-San Francisco,196,0.1684,NULL
Golden West College,7545,0.0098,NULL
Graduate Theological Union,NULL,NULL,NULL
Grossmont College,11155,0.042,NULL
Salon Success Academy-Riverside,97,0,NULL
Hartnell College,4041,0.0146,NULL
Harvey Mudd College,652,0.023,NULL
HEALD COLLEGE SCHOOL OF BUSINESS AND TECH-HAYWARD,359,0.0139,NULL
HEALD COLLEGE SCHOOL OF BUSINESS-OAKLAND,327,0.0153,NULL
HEALD COLLEGE SCHOOL OF TECHNOLOGY-SAN FRANCISCO,522,0,NULL
Heald College-Rancho Cordova,630,0,NULL
Heald College-Fresno,543,0,NULL
HEALD COLLEGE,337,0,NULL
Heald College-San Jose,662,0,NULL
Heald College-San Francisco,511,0.0607,NULL
Heald College-Concord,538,0,NULL
HEALD COLLEGE SCHOOL OF TECHNOLOGY,678,0,NULL
Hilltop Beauty School,113,0,NULL
Holy Names University,529,0.0851,NULL
Humboldt State University,6672,0.0075,NULL
Humphreys College-Stockton and Modesto Campuses,172,0,NULL
HUNTINGTON COLLEGE OF DENTAL TECHNOLOGY,37,0.0811,NULL
